book_id,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
1,17,20,31,56,16,52,47,140,3,73,98,49,195,1833,1175
2,18,24,23,21,27,25,26,7,4,10,9,19,122,50,3
3,49,52,56,73,46,1,64,16,44,25,26,38,31,40,197
4,8,5,32,28,10,58,14,2,13,26,50,18,29,65,24
5,8,4,28,32,58,14,65,13,121,10,55,29,138,50,101
7,19,155,161,18,21,24,23,2,27,28,13,58,189,55,14
8,5,4,13,14,28,32,65,483,55,58,94,121,101,29,50
9,26,170,145,21,27,2,18,23,24,11,25,201,33,78,57
10,76,171,43,4,230,42,471,63,5,2,18,29,24,27,21
11,67,33,26,57,22,46,45,38,111,100,378,64,115,81,40
12,280,1004,69,945,166,525,1523,1860,5224,259,600,149,351,434,5017
13,14,55,28,8,65,58,32,7,5,4,113,48,29,54,19
14,13,28,8,58,55,32,65,4,5,29,7,50,94,48,113
15,42,29,59,138,85,87,50,278,118,66,83,58,102,133,93
16,98,140,31,414,1,231,195,17,3,20,46,291,256,40,56
17,20,1,31,56,140,73,47,1175,98,16,52,1833,195,41,51
18,24,23,21,2,27,25,26,7,19,4,9,10,122,161,155
19,155,161,7,18,23,27,21,2,24,25,611,189,13,219,70
20,17,1,31,140,56,98,16,52,91,73,47,195,166,51,134
21,27,24,18,23,2,25,26,7,9,19,10,4,122,49,3
22,57,64,11,38,46,26,111,33,306,1083,40,186,115,100,331
23,18,24,21,2,27,25,26,7,19,9,4,10,122,161,49
24,18,21,27,23,2,25,26,7,19,9,4,10,122,49,161
25,27,21,24,18,23,2,26,7,9,19,49,3,4,10,52
26,9,2,21,27,18,24,23,33,11,22,25,4,57,145,170
27,21,24,18,23,2,25,26,7,9,19,10,4,122,49,3
28,14,13,32,8,58,4,55,5,50,7,29,65,48,138,121
29,125,154,248,58,353,530,773,138,714,79,32,28,839,50,14
31,195,16,231,414,98,1,140,46,17,20,396,81,47,124,291
32,28,58,4,8,14,5,13,65,29,50,131,55,7,225,130
33,11,26,57,100,150,38,22,306,115,45,148,118,186,10,4
35,629,1206,1835,2902,26,1506,708,45,1529,114,1663,33,11,94,40
36,241,184,28,50,85,4,58,55,18,117,48,2,32,24,245
37,347,332,542,602,641,292,117,59,219,7,161,158,155,19,93
38,46,57,22,111,33,11,150,40,115,122,64,45,67,100,81
39,110,135,165,188,1249,949,722,1362,1119,330,1023,1278,528,192,1525
40,57,46,64,111,67,256,11,38,81,31,22,33,150,186,100
41,151,214,159,175,163,314,370,909,51,73,1616,1032,17,56,153
42,43,10,93,15,76,66,133,63,29,171,75,118,4,3580,138
43,63,10,76,42,171,138,230,160,5,559,83,66,29,4,93
44,107,686,420,683,552,622,571,1459,1414,152,716,331,3119,3,49
45,60,11,33,100,38,115,4,8,122,94,101,57,22,35,26
46,111,38,57,31,81,67,22,11,186,40,64,273,3,150,47
47,195,31,1087,1,17,46,81,256,20,417,231,414,16,67,396
48,637,55,13,14,28,65,117,113,126,1641,297,54,3127,1980,8
49,52,3,56,73,1,25,64,44,46,78,197,27,21,26,527
50,278,85,58,28,29,32,4,102,5,335,14,117,101,8,786
51,153,134,183,309,434,202,415,224,254,394,384,210,419,182,4076
52,49,56,3,73,1,197,17,527,558,834,563,631,64,20,25
53,345,447,314,1351,25,2,27,21,24,62,1535,6133,569,223,18
54,599,751,1014,1332,1042,1727,126,70,7,13,400,442,65,297,14
55,13,28,14,65,8,5,58,32,7,48,4,29,113,121,50
56,52,49,3,73,1,17,20,631,558,197,527,652,563,834,64
57,111,22,100,11,33,46,150,64,38,40,81,1547,26,186,67
58,116,32,28,29,14,50,5,4,8,13,7,138,55,125,65
59,102,157,1222,158,251,335,93,85,15,278,339,386,321,364,138
