movieId,title,year,genres
7328,"Passion of Anna, The ",1969,Drama
7336,"Damned, The ",1969,Film-Noir
7774,My Side of the Mountain ,1969,Drama
7900,Frankenstein Must Be Destroyed ,1969,Action
8039,Support Your Local Sheriff! ,1969,Drama
8191,Anne of the Thousand Days ,1969,Comedy|Drama|War
8388,Ring of Bright Water ,1969,Comedy|Crime
8571,Bob & Carol & Ted & Alice ,1969,Drama|Romance
8678,Guns of the Magnificent Seven ,1969,Action|Sci-Fi
8725,"Goodbye, Columbus ",1969,Drama|War
8754,"Prime of Miss Jean Brodie, The ",1969,Documentary
8780,"Assassination Bureau, The ",1969,Comedy|Drama
8789,Castle Keep ,1969,Action|Sci-Fi
8797,Salesman ,1969,Comedy|Musical
8817,"Trouble with Girls, The ",1969,Action
26150,Andrei Rublev ,1969,Action|Thriller|War
26199,Alice's Restaurant ,1969,Children|Comedy
26202,Camille 2000 ,1969,Comedy|Drama
26205,"Goodbye, Mr. Chips ",1969,Action|Western
26206,Journey to the Far Side of the Sun ,1969,Drama|Musical|Romance
26207,Last Summer ,1969,Fantasy|Mystery|Sci-Fi|Thriller
26208,My Night At Maud's ,1969,Drama
26209,"Magic Christian, The ",1969,Comedy|Drama|Romance
26210,Marlowe ,1969,Comedy
26211,More ,1969,Crime|Drama|Mystery
26213,"Reivers, The ",1969,Crime|Drama|Romance
26215,"Joke, The ",1969,Horror
31188,"Milky Way, The ",1969,Action|Animation|Fantasy|Sci-Fi
31983,"Sicilian Clan, The ",1969,Horror|Mystery
32156,Hello Down There ,1969,Adventure|Animation|Children|Fantasy
32625,"Krakatoa, East of Java ",1969,Comedy|Musical|Romance
32719,Burn! ,1969,Drama|Romance
32737,Age of Consent ,1969,Comedy|Drama|Fantasy
32853,"Sorrow and the Pity, The ",1969,Documentary
32957,Double Suicide ,1969,Drama
32959,Boy ,1969,Drama|Romance
33288,Kes ,1969,Comedy|Drama
36816,Angel in My Pocket ,1969,Drama|War
43762,Mississippi Mermaid ,1969,Comedy|Drama|Romance
44234,"Illustrated Man, The ",1969,Children|Comedy|Fantasy
46855,Army of Shadows ,1969,Documentary
48059,"Boy Named Charlie Brown, A ",1969,Drama|Western
49929,Katzelmacher ,1969,Drama
53880,Putney Swope ,1969,Comedy
54220,"Sterile Cuckoo, The ",1969,Action|Comedy
56432,"Swimming Pool, The ",1969,Drama|Romance
58439,Downhill Racer ,1969,Comedy|Drama
59805,Antonio das Mortes ,1969,Documentary
59834,100 Rifles ,1969,Crime|Drama|Film-Noir
61434,Oh! What a Lovely War ,1969,Comedy|Drama
63391,Goyokin ,1969,Drama|Romance
65277,"Good Guys and the Bad Guys, The ",1969,Comedy
68515,Man with an Apartment ,1969,Drama
68574,Django the Bastard ,1969,Comedy|Documentary
71300,"Conspiracy of Torture, The ",1969,Comedy|Drama
71458,The Five Man Army ,1969,Documentary|Drama
71931,5th Day of Peace ,1969,Drama|Romance
72281,"Amour fou, L' ",1969,Adventure
72653,"Tom, Tom, the Piper's Son ",1969,Comedy
74575,"Secret of Santa Vittoria, The ",1969,Comedy|Drama
76208,"Cremator, The ",1969,Drama
76776,Pigsty ,1969,Drama|Thriller
77783,Tora-san Our Lovable Tramp ,1969,Drama|Sci-Fi|Thriller
78358,"Go, Go Second Time Virgin ",1969,Mystery|Thriller
78955,"Rain People, The ",1969,Horror
79388,Play Dirty ,1969,Drama
79461,Diary of a Shinjuku Thief ,1969,Drama
79644,"Desperados, The ",1969,Comedy
81054,Love Is Colder Than Death ,1969,Drama|Horror|Thriller
82302,Dillinger Is Dead ,1969,Action|Comedy
83569,Eros Plus Massacre ,1969,Drama
83821,"Happy Ending, The ",1969,Adventure|Drama|Romance
84734,Old Man Made in Spain ,1969,Horror|Mystery|Thriller
86728,"Gentle Woman, A ",1969,Drama|Horror
87358,Santa Claus Has Blue Eyes ,1969,Crime|Film-Noir|Thriller
87915,Mondo Trasho ,1969,Drama|Romance
88317,"Married Couple, A ",1969,Drama
88374,"Arrangement, The ",1969,Animation|Children|Comedy
90704,Hamlet ,1969,Comedy
91395,That Cold Day in the Park ,1969,Drama
91715,Model Shop ,1969,Comedy
91766,Machine Gun McCain ,1969,Documentary
91858,"Cow, The ",1969,Comedy
92348,Puss in Boots ,1969,Comedy|Crime
94417,Diaries Notes and Sketches ,1969,Comedy|Drama
96413,Funeral Parade of Roses ,1969,Documentary
96578,Mr. Freedom ,1969,Drama
97884,Submarine X-1 ,1969,Horror
98253,Samurai Banners ,1969,Drama
99395,Time of Roses ,1969,Drama|Sci-Fi
100001,"Comic, The ",1969,Comedy|Western
100465,Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness? ,1969,Comedy|Drama|Romance
100741,Sixtynine ,1969,Drama
101104,"Grand Amour, Le ",1969,Thriller
102947,"Walk with Love and Death, A ",1969,Action|Drama|War
104261,80 Steps to Jonah ,1969,Crime|Drama|Mystery|Thriller
105042,"Wedding Party, The ",1969,Drama|Sci-Fi|Thriller
105379,"Monitors, The ",1969,Drama
